time_index,time,NE
1,4.310074394308818,1.0
2,4.62845988209577,1.0
3,4.822130531591674,1.0
4,4.964870569537172,0.17953239327205808
5,5.079802360920476,0.17953239327205808
6,5.17722614338554,0.21609369861549302
7,5.262637440533631,0.21609369861549302
8,5.339309002240238,0.24733357087325683
9,5.409361113507924,0.24733357087325683
10,5.474237482327865,0.1860551129703658
11,5.534962397215757,0.1860551129703658
12,5.592298123886929,0.08481653335123009
13,5.646818985613005,0.08481653335123009
14,5.698975549343071,0.027574578316760034
15,5.749119483551348,0.027574578316760034
16,5.797537209401299,0.019609091420713605
17,5.844461317041791,0.019609091420713605
18,5.89008369583031,0.051693666014941804
19,5.9345647936207815,0.051693666014941804
20,5.978041830172874,0.1113710774316842
21,6.020628681883653,0.1113710774316842
22,6.062425453547965,0.17732911403782556
23,6.103516667847057,0.17732911403782556
24,6.143976336604067,0.22630067409337962
25,6.183869742615524,0.22630067409337962
26,6.2232529563993975,0.24660661753446503
27,6.2621749546566585,0.24660661753446503
28,6.300682049978707,0.24205528542641616
29,6.3388125335028604,0.24205528542641616
30,6.376601377926766,0.22174253152951867
31,6.4140815802077045,0.22174253152951867
32,6.451274883207122,0.1937253201640539
33,6.488213480450581,0.1937253201640539
34,6.524916469096289,0.16202447549920038
35,6.561405094240325,0.16202447549920038
36,6.597696576889983,0.1291291774773331
37,6.633809160600981,0.1291291774773331
38,6.669756981854911,0.09603179041954123
39,6.70555296999426,0.09603179041954123
40,6.741211910814085,0.06528092453251469
41,6.776744578491314,0.06528092453251469
42,6.812160039337594,0.03985965957418364
43,6.847468123593811,0.03985965957418364
44,6.882677843807745,0.020723726928115357
45,6.917797260850734,0.020723726928115357
46,6.952834182559077,0.007999217840197602
47,6.987793442612678,0.007999217840197602
48,7.022682388037672,0.000937122206319426
49,7.057506816210581,0.000937122206319426
50,7.0922708732723,0.0
51,7.126979785281237,0.0
52,7.161638297499557,0.004543965349297344
53,7.196249641600877,0.004543965349297344
54,7.230817530016645,0.019773978911333732
55,7.265345650894407,0.019773978911333732
56,7.29983800497528,0.019773978911333732
57,7.334294523661767,0.019773978911333732
58,7.368720634256191,0.08367109566097417
59,7.403118325978337,0.08367109566097417
60,7.437488886036001,0.08367109566097417
61,7.471834567734602,0.08367109566097417
62,7.506157156152285,0.08367109566097417
63,7.540459160783304,0.08367109566097417
